object,i_deg,w_deg,node_deg,q_au_1,q_au_2,p_yr,ref,object_name
P/2004 R1 (McNaught),4.894555854,0.626837835,295.9854497,0.986192006,5.23,5.48,20,P/2004 R1 (McNaught)
P/2008 S1 (Catalina-McNaught),15.1007464,203.6490232,111.3920029,1.190641555,5.95,6.74,13,P/2008 S1 (Catalina-McNaught)
1P/Halley,162.2626906,111.3324851,58.42008098,0.585978112,35.08,75.32,J863/77,1P/Halley
2P/Encke,11.77999525,186.5403463,334.5698056,0.336092386,4.09,3.3,74,2P/Encke
3D/Biela,13.2164,221.6588,250.669,0.879073,6.19,6.65,IAUCAT03,3D/Biela
5D/Brorsen,29.3821,14.9468,102.9676,0.589847,5.61,5.46,IAUCAT03,5D/Brorsen
7P/Pons-Winnecke,22.33501476,172.5061606,93.41632728,1.239214834,5.6,6.32,K088/14,7P/Pons-Winnecke
8P/Tuttle,54.98318484,207.509246,270.341652,1.027116587,10.37,13.61,K074/27,8P/Tuttle
12P/Pons-Brooks,74.17689423,199.0284686,255.8911444,0.773667087,33.47,70.85,15,12P/Pons-Brooks
13P/Olbers,44.60988573,64.64120652,86.10312835,1.178450614,32.64,69.52,10,13P/Olbers
15P/Finlay,6.798912616,347.5528394,13.7781465,0.975900773,6,6.51,K085/14,15P/Finlay
18D/Perrine-Mrkos,17.75898277,166.0504171,240.8755466,1.272248081,5.85,6.72,J682/18,18D/Perrine-Mrkos
20D/Westphal,40.89006106,57.08095497,348.0064469,1.254012762,30.03,61.87,19,20D/Westphal
21P/Giacobini-Zinner,31.90810099,172.5844249,195.3970145,1.030696274,6,6.59,K123/6,21P/Giacobini-Zinner
23P/Brorsen-Metcalf,19.33394047,129.6106837,311.5854622,0.478752711,33.66,70.52,13,23P/Brorsen-Metcalf
24P/Schaumasse,11.75152976,57.87449255,79.8310383,1.205010042,6.96,8.25,K014/19,24P/Schaumasse
26P/Grigg-Skjellerup,22.42889388,2.146692288,211.5375548,1.085247781,4.95,5.24,K139/6,26P/Grigg-Skjellerup
27P/Crommelin,28.96687279,196.0253969,250.6264098,0.748287467,17.72,28.07,K113/4,27P/Crommelin
41P/Tuttle-Giacobini-Kresak,9.228028049,62.19321856,141.0929309,1.047777635,5.12,5.42,K064/9,41P/Tuttle-Giacobini-Kresak
45P/Honda-Mrkos-Pajdusakova,4.252433261,326.2580404,89.0021809,0.529761421,5.51,5.25,K112/2,45P/Honda-Mrkos-Pajdusakova
46P/Wirtanen,11.75713931,356.3402053,82.16439077,1.052262085,5.12,5.43,K073/17,46P/Wirtanen
55P/Tempel-Tuttle,162.4865754,172.5002737,235.2709891,0.976427916,19.7,33.24,J985/69,55P/Tempel-Tuttle
66P/du Toit,18.70073632,257.2497193,22.21536497,1.274266775,10.73,14.71,48,66P/du Toit
67P/Churyumov-Gerasimenko,7.040200902,12.78560607,50.14210951,1.243241683,5.68,6.44,K084/21,67P/Churyumov-Gerasimenko
72P/Denning-Fujikawa,9.16928387,337.8580425,36.10919646,0.784161206,7.89,9.03,21,72P/Denning-Fujikawa
73P/Schwassmann-Wachmann 3,11.4234876,198.7699787,69.94634151,0.932770793,5.18,5.34,J954/19,73P/Schwassmann-Wachmann 3
73P/Schwassmann-Wachmann 3-B,11.39695195,198.7994526,69.8924768,0.939111037,5.18,5.36,K061/24,73P/Schwassmann-Wachmann 3-B
73P/Schwassmann-Wachmann 3-C,11.37915706,198.8705914,69.8432169,0.942856631,5.18,5.36,K114/1,73P/Schwassmann-Wachmann 3-C
73P/Schwassmann-Wachmann 3-E,11.40562118,198.7732444,69.91710448,0.937436995,5.19,5.36,K013/11,73P/Schwassmann-Wachmann 3-E
